id,location,fault_severity,event_type_1,event_type_2,event_type_3,event_type_4,event_type_5
1,location 7,0,1,2,2,1,2
2,location 20,0,2,3,1,3,2
3,location 29,0,4,2,1,3,3
4,location 15,0,3,4,1,4,2
5,location 11,0,1,1,2,3,0
6,location 8,0,2,4,3,1,0
7,location 29,0,3,2,2,1,0
8,location 21,2,3,1,4,2,2
9,location 7,0,1,0,2,2,0
10,location 26,0,0,0,1,2,3
11,location 19,1,1,3,0,3,2
12,location 23,0,2,2,2,3,4
13,location 11,0,3,2,2,4,2
14,location 11,1,1,0,1,2,3
15,location 24,2,0,4,0,0,4
16,location 21,0,1,1,0,4,2
17,location 4,2,4,4,4,0,0
18,location 8,0,0,4,2,3,1
19,location 24,0,2,0,0,4,1
20,location 3,0,3,0,0,4,0
21,location 22,2,1,0,3,1,1
22,location 21,0,0,3,3,3,1
23,location 2,0,4,4,0,3,0
24,location 24,0,0,2,4,4,0
25,location 12,0,4,1,0,3,2
26,location 6,0,2,3,1,4,2
27,location 2,0,3,2,2,1,0
28,location 28,0,2,4,4,4,3
29,location 21,0,1,0,1,3,1
30,location 1,0,0,4,4,3,2
31,location 12,0,4,1,1,4,1
32,location 26,0,4,3,2,4,4
33,location 22,0,0,3,2,4,0
34,location 29,1,0,1,3,2,3
35,location 12,0,1,2,1,3,4
36,location 25,0,2,2,3,3,4
37,location 17,0,4,3,1,2,4
38,location 27,0,1,3,3,4,0
39,location 27,0,2,0,2,1,2
40,location 10,0,1,2,4,4,0
41,location 28,0,4,1,3,4,2
42,location 28,0,0,2,1,2,4
43,location 16,0,0,0,1,3,4
44,location 15,0,2,3,2,4,3
45,location 15,0,3,3,1,3,2
46,location 19,0,2,0,0,0,4
47,location 12,0,3,1,4,3,1
48,location 23,0,1,3,3,1,3
49,location 20,0,1,4,4,1,0
50,location 25,0,4,3,2,4,3
51,location 3,1,3,4,3,3,1
52,location 5,0,4,0,3,4,2
53,location 19,0,0,0,0,2,0
54,location 7,1,3,3,2,1,0
55,location 21,2,2,2,1,4,2
56,location 9,0,0,4,0,2,3
57,location 7,0,0,1,0,4,4
58,location 18,1,2,3,4,3,3
59,location 4,1,0,1,4,3,1
60,location 25,0,3,3,4,3,4
61,location 28,0,4,2,0,3,3
62,location 14,0,0,2,1,0,2
63,location 18,0,3,2,3,2,1
64,location 26,0,1,2,4,2,1
